Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
,,,,,,,,,,,,,,,,,
Barbarian Class,R,U,22187,5.97,2697,8.88,3323,50.70%,674,47.60%,974,49.70%,1648,48.80%,1756,52.60%,-3.8pp
,,,,,,,,,,,,,,,,,
Battle Cry Goblin,R,U,9709,2.54,5806,2.64,29078,58.20%,6117,61.20%,8114,61.90%,14231,61.60%,15952,55.70%,5.9pp
,,,,,,,,,,,,,,,,,
Boots of Speed,R,C,71442,7.18,12296,9.66,26983,54.40%,4994,53.60%,7069,51.80%,12063,52.50%,15432,55.70%,-3.1pp
,,,,,,,,,,,,,,,,,
Brazen Dwarf,R,C,73264,7.75,8111,11.29,5540,51.20%,1260,49.20%,1704,47.70%,2964,48.30%,2915,53.10%,-4.8pp
,,,,,,,,,,,,,,,,,
Burning Hands,R,U,12711,3.25,4962,3.65,24014,56.10%,4723,56.60%,6289,55.80%,11012,56.10%,13555,55.90%,0.2pp
,,,,,,,,,,,,,,,,,
Chaos Channeler,R,U,12114,3.01,5155,3.31,25960,57.20%,4784,57.20%,7389,56.70%,12173,56.90%,14630,57.40%,-0.5pp
,,,,,,,,,,,,,,,,,
Critical Hit,R,U,25301,6.79,2889,10.27,1881,53.10%,293,48.80%,515,52.40%,808,51.10%,1101,54.80%,-3.7pp
,,,,,,,,,,,,,,,,,
"Delina, Wild Mage",R,R,2240,1.68,1360,1.63,7143,53.50%,1259,51.90%,1805,55.50%,3064,54.00%,4183,53.00%,0.9pp
,,,,,,,,,,,,,,,,,
Dragon's Fire,R,C,26769,2.6,14547,2.8,60783,57.20%,14880,59.30%,20021,59.40%,34901,59.40%,30583,55.20%,4.2pp
,,,,,,,,,,,,,,,,,
Dueling Rapier,R,C,69244,6.83,10353,9.53,22305,54.10%,4213,54.50%,6052,52.30%,10265,53.20%,12588,54.70%,-1.4pp
,,,,,,,,,,,,,,,,,
Earth-Cult Elemental,R,C,67464,6.45,11637,8.85,31430,56.40%,5742,57.10%,9774,56.30%,15516,56.60%,17235,56.10%,0.6pp
,,,,,,,,,,,,,,,,,
Farideh's Fireball,R,C,51035,4.63,10351,6.16,40243,55.60%,7545,52.90%,12036,55.80%,19581,54.70%,22191,56.10%,-1.4pp
,,,,,,,,,,,,,,,,,
Flameskull,R,M,1174,1.69,853,1.67,4725,57.10%,832,58.80%,1181,59.00%,2013,58.90%,2758,55.60%,3.3pp
,,,,,,,,,,,,,,,,,
Goblin Javelineer,R,C,68805,6.99,9300,9.99,15915,53.90%,3642,55.30%,4477,50.60%,8119,52.70%,8536,55.00%,-2.3pp
,,,,,,,,,,,,,,,,,
Goblin Morningstar,R,U,13850,3.35,5288,3.81,26160,56.60%,5317,57.90%,6924,56.80%,12241,57.30%,14490,55.90%,1.4pp
,,,,,,,,,,,,,,,,,
Hoarding Ogre,R,C,50196,4.45,12082,5.73,49907,56.10%,10745,56.60%,16196,55.10%,26941,55.70%,26092,56.20%,-0.5pp
,,,,,,,,,,,,,,,,,
Hobgoblin Bandit Lord,R,R,3480,2.6,1576,2.68,7391,55.70%,1253,54.80%,1872,53.90%,3125,54.30%,4372,56.60%,-2.4pp
,,,,,,,,,,,,,,,,,
Hobgoblin Captain,R,C,43222,3.82,15912,4.48,60410,56.80%,16308,58.90%,21504,55.50%,37812,56.90%,29043,56.60%,0.3pp
,,,,,,,,,,,,,,,,,
Hulking Bugbear,R,U,14894,3.61,4586,4.34,21840,55.30%,4312,56.30%,5868,53.60%,10180,54.80%,12262,55.70%,-0.9pp
,,,,,,,,,,,,,,,,,
Improvised Weaponry,R,C,50822,4.48,13018,5.65,51983,56.20%,11656,56.80%,15705,56.00%,27361,56.30%,27214,56.00%,0.3pp
,,,,,,,,,,,,,,,,,
Inferno of the Star Mounts,R,M,893,1.23,760,1.23,4344,57.60%,687,63.50%,1108,63.80%,1795,63.70%,2587,53.30%,10.4pp
,,,,,,,,,,,,,,,,,
Jaded Sell-Sword,R,C,68839,6.56,10628,9.2,24295,55.30%,4703,54.50%,7271,53.60%,11974,54.00%,13385,56.20%,-2.2pp
,,,,,,,,,,,,,,,,,
Kick in the Door,R,C,77053,8.31,8641,12,1455,50.70%,252,46.00%,362,48.30%,614,47.40%,865,52.10%,-4.7pp
,,,,,,,,,,,,,,,,,
Magic Missile,R,U,9662,2.53,5185,2.69,26300,57.30%,4983,56.70%,7056,58.80%,12039,57.90%,14858,56.80%,1.1pp
,,,,,,,,,,,,,,,,,
Meteor Swarm,R,R,2547,1.88,1841,1.85,10427,58.60%,1725,63.50%,2671,64.50%,4396,64.10%,6106,54.70%,9.4pp
,,,,,,,,,,,,,,,,,
Minion of the Mighty,R,R,8038,5.54,1112,8.16,248,,49,,61,,110,,139,,
,,,,,,,,,,,,,,,,,
Orb of Dragonkind,R,R,8633,5.95,1288,8.63,244,,35,,55,,90,,155,,
,,,,,,,,,,,,,,,,,
Plundering Barbarian,R,C,51656,4.56,14397,5.69,59318,56.60%,14094,56.40%,18850,56.50%,32944,56.50%,30546,56.40%,0.1pp
,,,,,,,,,,,,,,,,,
Price of Loyalty,R,C,59190,5.51,16376,6.61,42430,58.40%,11176,58.70%,17659,61.90%,28835,60.70%,18993,55.90%,4.8pp
,,,,,,,,,,,,,,,,,
Red Dragon,R,U,11253,2.87,4566,3.2,23567,57.20%,4026,57.60%,6565,59.90%,10591,59.00%,13458,55.60%,3.4pp
,,,,,,,,,,,,,,,,,
Rust Monster,R,U,19823,4.83,4950,6.06,19949,55.00%,3903,53.90%,5447,54.20%,9350,54.10%,11245,55.60%,-1.5pp
,,,,,,,,,,,,,,,,,
Swarming Goblins,R,C,53964,4.81,13535,6.08,52943,57.20%,11437,59.00%,17731,59.10%,29168,59.10%,27420,55.60%,3.4pp
,,,,,,,,,,,,,,,,,
Tiger-Tribe Hunter,R,U,17259,4.22,5087,5,21031,55.60%,3703,53.30%,5899,54.00%,9602,53.70%,12068,57.10%,-3.3pp
,,,,,,,,,,,,,,,,,
Unexpected Windfall,R,C,70534,7.04,10665,9.85,21404,54.60%,3699,51.40%,5657,53.20%,9356,52.50%,12504,56.00%,-3.5pp
,,,,,,,,,,,,,,,,,
Valor Singer,R,C,55095,4.88,13321,6.27,51198,56.70%,12026,57.90%,16483,55.50%,28509,56.50%,26361,56.80%,-0.3pp
,,,,,,,,,,,,,,,,,
Wish,R,R,9069,6.15,1337,9.05,93,,13,,27,,40,,53,,
,,,,,,,,,,,,,,,,,
Xorn,R,R,4087,3.08,1337,3.44,5973,54.30%,1049,53.00%,1503,51.30%,2552,52.00%,3513,55.70%,-3.7pp
,,,,,,,,,,,,,,,,,
You Come to the Gnoll Camp,R,C,76347,8,10319,11.31,6704,53.90%,1069,50.40%,1723,52.50%,2792,51.70%,3999,55.30%,-3.6pp
,,,,,,,,,,,,,,,,,
You Find Some Prisoners,R,U,24421,6.11,3444,9.06,5597,52.80%,1005,48.60%,1401,50.70%,2406,49.80%,3249,54.90%,-5.1pp
,,,,,,,,,,,,,,,,,
You See a Pair of Goblins,R,U,19597,4.64,4312,5.99,16992,55.60%,3190,52.90%,4467,55.20%,7657,54.20%,9710,56.60%,-2.4pp
,,,,,,,,,,,,,,,,,
"Zalto, Fire Giant Duke",R,R,3326,2.61,1139,2.75,5306,52.70%,785,52.00%,1424,53.10%,2209,52.70%,3175,52.90%,-0.2pp
,,,,,,,,,,,,,,,,,
"Zariel, Archduke of Avernus",R,M,892,1.25,715,1.24,4018,58.20%,705,65.20%,940,63.10%,1645,64.00%,2384,54.30%,9.7pp
,,,,,,,,,,,,,,,,,
Bulette,G,C,69291,6.99,7774,10.23,11056,52.70%,1972,49.90%,3416,51.80%,5388,51.10%,6112,53.80%,-2.7pp
,,,,,,,,,,,,,,,,,
Bull's Strength,G,C,70946,7.19,11681,9.65,28153,55.70%,5559,53.30%,9007,56.60%,14566,55.30%,14838,55.90%,-0.6pp
,,,,,,,,,,,,,,,,,
Choose Your Weapon,G,U,23414,5.96,3129,8.66,7266,53.70%,1098,52.40%,1978,54.50%,3076,53.70%,4249,53.60%,0.1pp
,,,,,,,,,,,,,,,,,
Circle of Dreams Druid,G,R,6208,4.58,811,6.55,738,,142,,208,44.70%,350,44.60%,396,51.00%,-6.4pp
,,,,,,,,,,,,,,,,,
Circle of the Moon Druid,G,C,66144,6.3,10955,8.56,31434,55.30%,7412,56.10%,10913,54.50%,18325,55.10%,15695,55.20%,-0.1pp
,,,,,,,,,,,,,,,,,
Compelled Duel,G,C,75835,8.22,8200,11.87,4443,52.10%,788,50.40%,1255,49.00%,2043,49.50%,2522,53.80%,-4.2pp
,,,,,,,,,,,,,,,,,
Dire Wolf Prowler,G,C,68880,6.83,9277,9.59,18138,53.40%,3914,51.60%,5692,51.90%,9606,51.80%,9512,54.50%,-2.7pp
,,,,,,,,,,,,,,,,,
Druid Class,G,U,19319,4.94,3078,6.79,9224,54.70%,1687,54.10%,2743,55.00%,4430,54.70%,4941,54.70%,-0.0pp
,,,,,,,,,,,,,,,,,
Ellywick Tumblestrum,G,M,997,1.4,671,1.34,3286,54.10%,554,53.60%,885,58.90%,1439,56.80%,1867,52.20%,4.6pp
,,,,,,,,,,,,,,,,,
Elturgard Ranger,G,C,65457,6.21,11523,8.36,33237,55.10%,6557,55.10%,11375,56.20%,17932,55.80%,17278,54.40%,1.4pp
,,,,,,,,,,,,,,,,,
Find the Path,G,C,72274,7.75,7463,11.4,5287,51.60%,1087,51.10%,1656,50.20%,2743,50.60%,2748,52.20%,-1.7pp
,,,,,,,,,,,,,,,,,
Froghemoth,G,R,2343,1.62,1451,1.58,7491,55.00%,1255,53.50%,2104,55.40%,3359,54.70%,4262,55.10%,-0.4pp
,,,,,,,,,,,,,,,,,
Gnoll Hunter,G,C,52961,4.72,13036,5.86,43001,55.30%,12115,56.90%,16542,55.20%,28657,55.90%,19657,54.40%,1.5pp
,,,,,,,,,,,,,,,,,
Green Dragon,G,U,18144,4.54,2586,6.39,8149,52.30%,1356,53.40%,2471,53.30%,3827,53.30%,4501,51.50%,1.9pp
,,,,,,,,,,,,,,,,,
Hill Giant Herdgorger,G,C,58601,5.42,12720,6.92,43811,55.40%,8751,55.40%,16783,57.20%,25534,56.60%,21990,54.20%,2.4pp
,,,,,,,,,,,,,,,,,
Hunter's Mark,G,U,13090,3.36,4983,3.77,23130,56.50%,4312,58.00%,7048,60.10%,11360,59.30%,12512,54.30%,5.0pp
,,,,,,,,,,,,,,,,,
Inspiring Bard,G,C,66493,6.35,11377,8.61,33566,55.50%,7347,54.90%,11746,56.20%,19093,55.70%,17012,54.90%,0.8pp
,,,,,,,,,,,,,,,,,
Instrument of the Bards,G,R,6550,4.71,933,6.84,929,49.60%,142,,240,42.50%,382,45.30%,549,52.80%,-7.5pp
,,,,,,,,,,,,,,,,,
Intrepid Outlander,G,U,13690,3.41,4535,3.91,20545,56.40%,4419,58.60%,6362,57.10%,10781,57.70%,10741,55.40%,2.3pp
,,,,,,,,,,,,,,,,,
Loathsome Troll,G,U,21506,5.44,2927,7.87,6475,51.00%,1086,45.70%,3124,47.90%,4210,47.30%,3593,53.00%,-5.7pp
,,,,,,,,,,,,,,,,,
Long Rest,G,R,7320,5.01,1228,6.89,2037,51.50%,323,49.20%,572,52.10%,895,51.10%,1149,51.60%,-0.5pp
,,,,,,,,,,,,,,,,,
Lurking Roper,G,U,16222,4.08,4902,4.65,20271,56.00%,4381,58.50%,6598,56.60%,10979,57.30%,10488,54.60%,2.7pp
,,,,,,,,,,,,,,,,,
Neverwinter Dryad,G,C,71852,7.6,7917,11.02,9345,52.50%,1971,52.90%,2765,52.20%,4736,52.40%,5002,52.00%,0.5pp
,,,,,,,,,,,,,,,,,
Ochre Jelly,G,R,2427,1.8,1579,1.77,8631,56.10%,1529,56.30%,2517,59.20%,4046,58.10%,4761,54.50%,3.6pp
,,,,,,,,,,,,,,,,,
Old Gnawbone,G,M,1059,1.53,671,1.51,3438,55.30%,517,55.50%,1088,61.20%,1605,59.40%,1905,52.20%,7.2pp
,,,,,,,,,,,,,,,,,
Owlbear,G,C,40221,3.7,12800,4.33,45739,55.50%,11023,55.90%,18394,58.10%,29417,57.30%,21898,53.90%,3.4pp
,,,,,,,,,,,,,,,,,
Plummet,G,C,79280,9.02,8214,12.84,833,48.50%,140,,229,45.90%,369,47.20%,470,49.10%,-2.0pp
,,,,,,,,,,,,,,,,,
Prosperous Innkeeper,G,U,12159,3.17,4055,3.55,18836,56.20%,3882,60.20%,5649,57.50%,9531,58.60%,9922,54.10%,4.5pp
,,,,,,,,,,,,,,,,,
Purple Worm,G,U,14614,3.78,3606,4.56,15418,54.30%,2551,52.50%,4703,54.70%,7254,53.90%,8569,54.60%,-0.7pp
,,,,,,,,,,,,,,,,,
Ranger Class,G,R,2020,1.44,1592,1.42,9120,58.70%,1695,68.40%,2619,62.70%,4314,65.00%,4852,53.20%,11.7pp
,,,,,,,,,,,,,,,,,
Ranger's Longbow,G,C,76956,8.41,8036,12.18,2823,51.40%,461,46.40%,743,47.20%,1204,46.90%,1644,54.20%,-7.3pp
,,,,,,,,,,,,,,,,,
Scaled Herbalist,G,C,75318,8.31,7854,12.01,4128,50.20%,789,49.70%,1189,47.50%,1978,48.40%,2250,51.20%,-2.8pp
,,,,,,,,,,,,,,,,,
Spoils of the Hunt,G,C,48275,4.42,13327,5.38,46775,55.50%,11596,54.20%,18289,57.80%,29885,56.40%,21723,54.50%,2.0pp
,,,,,,,,,,,,,,,,,
Sylvan Shepherd,G,C,63211,5.98,8810,8.49,23557,54.40%,5311,54.90%,7967,53.70%,13278,54.20%,11944,54.20%,-0.1pp
,,,,,,,,,,,,,,,,,
The Tarrasque,G,M,1419,2.33,560,2.3,2106,53.20%,330,57.00%,611,58.30%,941,57.80%,1172,49.60%,8.2pp
,,,,,,,,,,,,,,,,,
Underdark Basilisk,G,C,57480,5.13,11351,6.72,39082,54.90%,9700,54.60%,14575,54.80%,24275,54.70%,18749,54.80%,-0.1pp
,,,,,,,,,,,,,,,,,
"Varis, Silverymoon Ranger",G,R,2322,1.61,1487,1.56,8063,57.30%,1440,63.30%,2296,60.80%,3736,61.70%,4495,53.80%,8.0pp
,,,,,,,,,,,,,,,,,
Wandering Troubadour,G,U,12599,3.23,4148,3.7,18961,55.40%,3648,55.90%,5995,56.80%,9643,56.40%,10155,54.90%,1.5pp
,,,,,,,,,,,,,,,,,
Werewolf Pack Leader,G,R,2312,1.8,1363,1.76,7252,56.40%,1331,63.00%,1929,57.50%,3260,59.70%,4136,53.90%,5.8pp
,,,,,,,,,,,,,,,,,
Wild Shape,G,U,27194,7.22,3287,10.63,2494,53.90%,404,52.50%,660,54.40%,1064,53.70%,1448,53.90%,-0.2pp
,,,,,,,,,,,,,,,,,
You Find a Cursed Idol,G,C,71368,7.31,8538,10.56,12732,52.00%,2364,47.00%,3443,51.20%,5807,49.50%,7119,53.90%,-4.4pp
,,,,,,,,,,,,,,,,,
You Happen On a Glade,G,U,21008,5.13,3574,6.96,12147,53.70%,2293,51.90%,3335,55.00%,5628,53.70%,6712,53.70%,0.1pp
,,,,,,,,,,,,,,,,,
You Meet in a Tavern,G,U,22319,5.57,3479,7.8,9721,55.00%,1634,53.10%,2619,55.70%,4253,54.70%,5577,55.40%,-0.7pp
,,,,,,,,,,,,,,,,,
Adult Gold Dragon,WR,R,2216,1.56,1759,1.53,10040,57.80%,1734,60.50%,2743,64.00%,4477,62.60%,5771,54.20%,8.4pp
,,,,,,,,,,,,,,,,,
Bard Class,RG,R,8267,5.86,1152,8.7,48,,9,,11,,20,,28,,
,,,,,,,,,,,,,,,,,
Barrowin of Clan Undurr,WB,U,17187,4.44,3647,5.56,11447,54.60%,2300,54.10%,4145,58.40%,6445,56.90%,5796,52.90%,4.0pp
,,,,,,,,,,,,,,,,,
Bruenor Battlehammer,WR,U,15326,4.09,4335,4.57,13408,53.50%,2841,56.10%,3932,56.20%,6773,56.20%,7343,51.40%,4.8pp
,,,,,,,,,,,,,,,,,
Drizzt Do'Urden,WG,R,2272,1.67,1615,1.6,8799,57.80%,1536,63.70%,2593,63.80%,4129,63.70%,4820,53.10%,10.7pp
,,,,,,,,,,,,,,,,,
"Farideh, Devil's Chosen",UR,U,20954,5.74,2993,7.99,4766,52.80%,1026,51.80%,1619,53.40%,2645,52.80%,2410,53.30%,-0.5pp
,,,,,,,,,,,,,,,,,
Fighter Class,WR,R,5607,4.21,1231,5.06,2988,52.40%,551,46.10%,725,51.60%,1276,49.20%,1718,54.80%,-5.6pp
,,,,,,,,,,,,,,,,,
Gretchen Titchwillow,UG,U,22984,6.2,3142,8.76,4559,53.80%,984,55.30%,1615,55.90%,2599,55.70%,2257,52.40%,3.3pp
,,,,,,,,,,,,,,,,,
"Hama Pashar, Ruin Seeker",WU,U,21685,5.86,2854,8.33,4395,49.50%,880,45.50%,1591,52.40%,2471,49.90%,2204,49.80%,0.1pp
,,,,,,,,,,,,,,,,,
"Kalain, Reclusive Painter",BR,U,12917,3.52,5194,3.81,22125,58.10%,4738,62.50%,6660,57.50%,11398,59.60%,11719,56.60%,3.0pp
,,,,,,,,,,,,,,,,,
Krydle of Baldur's Gate,UB,U,17769,4.66,3140,6.03,8631,54.70%,1727,58.10%,2998,58.20%,4725,58.20%,4394,51.60%,6.5pp
,,,,,,,,,,,,,,,,,
"Minsc, Beloved Ranger",WRG,M,1799,2.82,646,2.86,1906,52.90%,291,55.70%,512,51.60%,803,53.10%,1117,52.90%,0.1pp
,,,,,,,,,,,,,,,,,
Monk Class,WU,R,6235,4.79,1066,6.18,1417,49.50%,255,46.30%,448,52.70%,703,50.40%,732,48.60%,1.7pp
,,,,,,,,,,,,,,,,,
"Orcus, Prince of Undeath",BR,R,2179,1.6,1731,1.57,9907,58.40%,1613,61.70%,2712,65.20%,4325,63.90%,5731,54.50%,9.4pp
,,,,,,,,,,,,,,,,,
Rogue Class,UB,R,4911,3.91,915,5.05,1894,50.90%,293,45.10%,579,47.50%,872,46.70%,1032,54.40%,-7.7pp
,,,,,,,,,,,,,,,,,
"Shessra, Death's Whisper",BG,U,22943,5.91,3523,8.21,6584,52.80%,1177,50.20%,2045,51.80%,3222,51.20%,3579,53.80%,-2.6pp
,,,,,,,,,,,,,,,,,
Skeletal Swarming,BG,R,2397,1.78,1654,1.72,8736,54.30%,1489,54.50%,2505,56.40%,3994,55.70%,4803,53.00%,2.7pp
,,,,,,,,,,,,,,,,,
Sorcerer Class,UR,R,8094,5.81,1127,8.52,100,,17,,28,,45,,55,,
,,,,,,,,,,,,,,,,,
"Targ Nar, Demon-Fang Gnoll",RG,U,19327,5.05,4512,5.95,12494,56.30%,2864,58.30%,3736,56.50%,6600,57.30%,6585,55.50%,1.8pp
,,,,,,,,,,,,,,,,,
Tiamat,WUBRG,M,2461,3.75,525,4.62,488,,60,,131,,191,,301,56.80%,
,,,,,,,,,,,,,,,,,
"Trelasarra, Moon Dancer",WG,U,15606,4.27,3871,4.91,13581,56.40%,3054,59.40%,4722,57.70%,7776,58.30%,6713,54.40%,4.0pp
,,,,,,,,,,,,,,,,,
Triumphant Adventurer,WB,R,3211,2.48,1422,2.4,6125,55.40%,1064,64.40%,1935,59.40%,2999,61.20%,3354,51.00%,10.2pp
,,,,,,,,,,,,,,,,,
"Volo, Guide to Monsters",UG,R,3338,2.68,1265,2.62,4713,52.40%,850,53.30%,1450,56.10%,2300,55.00%,2517,50.30%,4.7pp
,,,,,,,,,,,,,,,,,
"Xanathar, Guild Kingpin",UB,M,977,1.38,795,1.36,4253,55.70%,673,55.40%,1326,61.30%,1999,59.30%,2354,52.60%,6.7pp
,,,,,,,,,,,,,,,,,
Bag of Holding,,U,26658,6.85,3157,10.13,2508,50.80%,458,43.90%,640,47.80%,1098,46.20%,1418,54.30%,-8.1pp
,,,,,,,,,,,,,,,,,
The Deck of Many Things,,M,1154,1.73,785,1.68,4340,53.00%,694,49.00%,1168,53.90%,1862,52.10%,2484,53.70%,-1.6pp
,,,,,,,,,,,,,,,,,
Dungeon Map,,U,21603,5.09,4141,6.71,14347,53.00%,2516,49.90%,3966,54.00%,6482,52.40%,7965,53.40%,-1.0pp
,,,,,,,,,,,,,,,,,
Eye of Vecna,,R,4311,3.18,939,3.66,3424,51.40%,637,46.90%,845,49.90%,1482,48.70%,1950,53.50%,-4.8pp
,,,,,,,,,,,,,,,,,
Fifty Feet of Rope,,U,26087,6.69,3116,9.83,3263,50.70%,581,46.50%,893,51.60%,1474,49.60%,1806,51.40%,-1.8pp
,,,,,,,,,,,,,,,,,
Greataxe,,C,78204,8.61,7729,12.42,1934,49.00%,331,45.60%,489,46.20%,820,46.00%,1136,51.00%,-5.0pp
,,,,,,,,,,,,,,,,,
Hand of Vecna,,R,3051,2.37,1440,2.3,7477,54.30%,1313,55.60%,1870,52.60%,3183,53.80%,4314,54.80%,-1.0pp
,,,,,,,,,,,,,,,,,
Iron Golem,,U,25613,6.23,2620,9.42,3487,53.50%,601,49.10%,1023,53.40%,1624,51.80%,1961,55.10%,-3.3pp
,,,,,,,,,,,,,,,,,
Leather Armor,,C,77599,8.41,7766,12.2,2124,50.10%,360,49.40%,553,48.50%,913,48.80%,1236,50.80%,-2.0pp
,,,,,,,,,,,,,,,,,
Mimic,,C,77406,8.31,6792,12.31,1374,48.80%,258,47.70%,372,45.70%,630,46.50%,765,50.10%,-3.6pp
,,,,,,,,,,,,,,,,,
Spare Dagger,,C,77773,8.18,10716,11.31,7620,52.80%,1510,52.30%,2339,52.00%,3849,52.10%,4052,53.00%,-0.8pp
,,,,,,,,,,,,,,,,,
Spiked Pit Trap,,C,71536,6.78,9571,9.73,17277,53.50%,3083,50.00%,4984,55.70%,8067,53.50%,9579,53.40%,0.1pp
,,,,,,,,,,,,,,,,,
Treasure Chest,,R,5356,3.87,663,5.44,1189,47.50%,183,,335,48.40%,518,45.80%,683,48.80%,-3.0pp
,,,,,,,,,,,,,,,,,
Cave of the Frost Dragon,W,R,2995,2.24,1365,2.32,6608,56.00%,1230,61.00%,1620,56.30%,2850,58.30%,3773,54.20%,4.1pp
,,,,,,,,,,,,,,,,,
Den of the Bugbear,R,R,3224,2.35,1530,2.42,8138,57.70%,1513,63.70%,1927,57.00%,3440,60.00%,4722,56.00%,4.0pp
,,,,,,,,,,,,,,,,,
Dungeon Descent,,R,8761,5.96,1264,8.65,337,,73,,82,,155,,182,,
,,,,,,,,,,,,,,,,,
Evolving Wilds,,C,58738,4.9,11811,6.72,56044,55.40%,12321,57.90%,15847,52.90%,28168,55.10%,29900,55.50%,-0.4pp
,,,,,,,,,,,,,,,,,
Hall of Storm Giants,U,R,3548,2.74,910,3.06,3590,54.90%,654,58.70%,1062,57.10%,1716,57.70%,1891,52.40%,5.3pp
,,,,,,,,,,,,,,,,,
Hive of the Eye Tyrant,B,R,3586,2.53,1494,2.64,7681,58.00%,1404,62.20%,1931,57.60%,3335,59.60%,4367,56.80%,2.7pp
,,,,,,,,,,,,,,,,,
Lair of the Hydra,G,R,3186,2.41,1334,2.45,6529,56.70%,1161,58.70%,1700,59.40%,2861,59.10%,3697,55.00%,4.1pp
,,,,,,,,,,,,,,,,,
Temple of the Dragon Queen,,U,21189,4.85,4849,6.6,24005,55.20%,4817,57.50%,6203,53.20%,11020,55.00%,13386,55.30%,-0.2pp
,,,,,,,,,,,,,,,,,
Treasure Vault,,R,7862,5.36,1029,7.84,939,51.10%,151,,260,51.20%,411,50.60%,533,51.80%,-1.2pp
,,,,,,,,,,,,,,,,,
